name,rounding,factor,uom_type,display_precision
Case40,0.01,0.025,bigger,0.01
ML(250's),0.01,250,bigger,0.01
Bag(50's),0.01,0.02,bigger,0.01
Gram(50's),0.01,50,bigger,0.01
Case20,0.01,0.05,bigger,0.01
Gram(500's),0.01,500,bigger,0.01
Tin(10's),0.01,0.1,bigger,0.01
Gram(480's),0.01,480,bigger,0.01
Case6,0.01,0.166667,bigger,0.01
Case12,0.01,0.083333,bigger,0.01
Case24,0.01,0.041667,bigger,0.01
ML(400's),0.01,400,bigger,0.01
Gram(900's),0.01,900.00009,bigger,0.01
Kg(5.5's),0.01,5.500002,bigger,0.01
Case(9.6's),0.01,0.104167,bigger,0.01
Kg(3.5's),0.01,3.5,bigger,0.01
Bag(3.5's),0.01,0.285714,bigger,0.01
Gram(400's),0.01,400,bigger,0.01
Can(1.36's),0.01,0.735294,bigger,0.01
Pail(12's),0.01,0.083333,bigger,0.01
Gram(227's),0.01,226.75737,bigger,0.01
Case(400's),0.01,0.0025,bigger,0.01
Gram(72's),0.01,72,bigger,0.01
Gram(350's),0.01,350.000007,bigger,0.01
Case25,0.01,0.04,bigger,0.01
Kg(2.3's),0.01,2.3,bigger,0.01
Pail(5's),0.01,0.2,bigger,0.01
Cont.(17.1),0.01,1,bigger,0.01
Pc(10's),0.01,10,bigger,0.01
Gram(910's),0.01,910.000007,bigger,0.01
Gram(750's),0.01,750,bigger,0.01
Tin(20's),0.01,0.05,bigger,0.01
Litter(20's),0.01,20,bigger,0.01
Pail(10's),0.01,0.1,bigger,0.01
Can(3.15's),0.01,0.31746,bigger,0.01
Gram(226's),0.01,226,bigger,0.01
ML(185's),0.01,185,bigger,0.01
Gram(907's),0.01,907.000002,bigger,0.01
Pc(6's),0.01,6,bigger,0.01
Gram(370's),0.01,370,bigger,0.01
Kg(0.700's),0.01,0.700001,bigger,0.01
Bag(15's),0.01,0.066667,bigger,0.01
Bottle(1's),0.01,1,bigger,0.01
Kg(2.27kg),0.01,2.27,bigger,0.01
Gram(43's),0.01,43.000026,bigger,0.01
Case30,0.01,0.033333,bigger,0.01
Case9.5,0.01,0.105263,bigger,0.01
Case19,0.01,0.052632,bigger,0.01
ML(750's),0.01,750.000002,bigger,0.01
Gram(5's),0.01,5,bigger,0.01
Litter(3.78's),0.01,3.78,bigger,0.01
Pc(1's),0.01,1,bigger,0.01
Gram(680's),0.01,680.040802,bigger,0.01
Bag(20's),0.01,0.05,bigger,0.01
Block(5kg),0.01,0.2,bigger,0.01
Gram(1560's),0.01,1560.000002,bigger,0.01
Bag(25's),0.01,0.04,bigger,0.01
Pack(24's),0.01,0.041667,bigger,0.01
Pack(2kg),0.01,2,bigger,0.01
Gram(51g),0.01,51,bigger,0.01
Gram(1000's),0.01,1000,bigger,0.01
ML(1000's),0.01,1000,bigger,0.01
Can(500g),0.01,500,bigger,0.01
Case2,0.01,0.5,bigger,0.01
Tin(16's),0.01,16,bigger,0.01
"Case(100""s)",0.01,0.01,bigger,0.01
Case11 (4x2.75),0.01,0.090909,bigger,0.01
Kg(3's),0.01,3,bigger,0.01
Pack(16's),0.01,0.0625,bigger,0.01
Gram(200's),0.01,200,bigger,0.01
Gram(510's),0.01,510.000004,bigger,0.01
Gram(25's),0.01,25,bigger,0.01
ML(700's),0.01,700.000004,bigger,0.01
Kg(4.5's),0.01,4.5,bigger,0.01
Kg(25's),0.01,25,bigger,0.01
Pail(4.5's),0.01,0.222222,bigger,0.01
Case15,0.01,0.066667,bigger,0.01
ML(325's),0.01,325.000001,bigger,0.01
Gram(685's),0.01,685.000002,bigger,0.01
Kg(3.15's),0.01,3.15,bigger,0.01
Pail(3's),0.01,0.333333,bigger,0.01
Kg(17.1's),0.01,17.1,bigger,0.01
Case16,0.01,0.0625,bigger,0.01
Gram(710's),0.01,710.000002,bigger,0.01
Tin(5.5's),0.01,1,bigger,0.01
Litter(1.8's),0.01,1.8,bigger,0.01
Litter(5's),0.01,5,bigger,0.01
ML(300's),0.01,300,bigger,0.01
Gram(190's),0.01,190,bigger,0.01
Kg(2.5's),0.01,2.5,bigger,0.01
Case4,0.01,0.25,bigger,0.01
Litter(1.36's),0.01,1.36,bigger,0.01
Kg(12's),0.01,12,bigger,0.01
Tray(30's),0.01,0.033333,bigger,0.01
Kg(1.1's),0.01,1.1,bigger,0.01
Case11,0.01,0.090909,bigger,0.01
Case7,0.01,0.142857,bigger,0.01
Kg(0.900),0.01,0.9,bigger,0.01
Pc(120's),0.01,120,bigger,0.01
Gram(595's),0.01,595.000803,bigger,0.01
ML(150's),0.01,149.999925,bigger,0.01
Gram(453's),0.01,452.99908,bigger,0.01
Gram(160's),0.01,160,bigger,0.01
Gram(150's),0.01,149.999925,bigger,0.01
Kg(15's),0.01,14.999999,bigger,0.01
ML(650's),0.01,650.00065,bigger,0.01
Case216,0.01,0.00463,bigger,0.01
Case105,0.01,0.009524,bigger,0.01
Pc(25's),0.01,25,bigger,0.01
Pc(216's),0.01,215.982721,bigger,0.01
ML(946's),0.01,943.396226,bigger,0.01
Gram(1200's),0.01,1200.0048,bigger,0.01
Gram(800's),0.01,800,bigger,0.01
Kg(2.2's),0.01,2.2,bigger,0.01
Kg(5's),0.01,5,bigger,0.01
Case50,0.01,0.02,bigger,0.01
Gram(275's),0.01,275.000275,bigger,0.01
Tin(8's),0.01,1,bigger,0.01
Litter(8's),0.01,8,bigger,0.01
Gram(956's),0.01,955.995526,bigger,0.01
Kg(2.84's),0.01,2.84,bigger,0.01
Gram(432's),0.01,432.000899,bigger,0.01
Gram(280's),0.01,280,bigger,0.01
Litter(13's),0.01,13,bigger,0.01
Tin(1's),0.01,1,bigger,0.01
case72,0.01,0.013889,bigger,0.01
Gram(70's),0.01,70,bigger,0.01
Pack(20's),0.01,0.05,bigger,0.01
Bottle(12's),0.01,12,bigger,0.01
Case144,0.01,0.006944,bigger,0.01
Gram(15's),0.01,15,bigger,0.01
Pail(7's),0.01,0.142857,bigger,0.01
Kg(7's),0.01,7,bigger,0.01
Roll(6's),0.01,6,bigger,0.01
Case150,0.01,0.006667,bigger,0.01
Case125,0.01,0.008,bigger,0.01
Case175,0.01,0.005714,bigger,0.01
Case100,0.01,0.01,bigger,0.01
CaseXXXXXXXXXXX,0.01,0.033333,bigger,0.01
Pc(100's),0.01,100,bigger,0.01
Pc(1000's),0.01,1000,bigger,0.01
Case(250's),0.01,0.004,bigger,0.01
Pack(40's),0.01,40,bigger,0.01
Pc(250's),0.01,250,bigger,0.01
Pc(2000's),0.01,2000,bigger,0.01
Case(300's),0.01,0.003333,bigger,0.01
Pack(24's),0.01,24,bigger,0.01
Case(10000's),0.01,0.0001,bigger,0.01
Roll(1's),0.01,1,bigger,0.01
Pack(50's),0.01,0.02,bigger,0.01
Pack(200's),0.01,0.005,bigger,0.01
Case(72's),0.01,0.013889,bigger,0.01
Pair(1's),0.01,1,bigger,0.01
Case(500's),0.01,0.002,bigger,0.01
Pack(2Litter),0.01,2,bigger,0.01
Case(8Litter),0.01,0.125,bigger,0.01
Pc(230's),0.01,230,bigger,0.01
Pc(12's),0.01,12,bigger,0.01
Pc(20's),0.01,20,bigger,0.01
Pail(25's),0.01,0.04,bigger,0.01
Pail(20's),0.01,0.05,bigger,0.01
Case5,0.01,0.2,bigger,0.01
Ream(1's),0.01,1,bigger,0.01
Pad(1's),0.01,1,bigger,0.01
Box(10's),0.01,0.1,bigger,0.01
Set(1's),0.01,1,bigger,0.01
Pack(1.136's),0.01,1.136,bigger,0.01
Pack(0.909's),0.01,0.909,bigger,0.01
Pack(2.5's),0.01,2.5,bigger,0.01
ML(340's),0.01,340,bigger,0.01
Pack(18's),0.01,0.055556,bigger,0.01
Gram(180's),0.01,180,bigger,0.01
Gram(380's),0.01,380.000001,bigger,0.01
ML(355's),0.01,355.000001,bigger,0.01
ML(295's),0.01,295.002655,bigger,0.01
Pc(500's),0.01,500,bigger,0.01
Gram(113's),0.01,113.000096,bigger,0.01
Gram(946's),0.01,946.002195,bigger,0.01
Kg(1.136),0.01,1.136,bigger,0.01
Gram(700's),0.01,700.0007,bigger,0.01
Gram(170's),0.01,170.000085,bigger,0.01
Litter(1.6's),0.01,1.6,bigger,0.01
ML(510's),0.01,510.001122,bigger,0.01
Gram(473's),0.01,473.001097,bigger,0.01
ML(437's),0.01,437.000099,bigger,0.01
Gram(2's),0.01,2,bigger,0.01
Case13,0.01,0.076923,bigger,0.01
Gram(511's),0.01,511.000042,bigger,0.01
Gram(142's),0.01,142.000011,bigger,0.01
Gram(30's),0.01,30.00003,bigger,0.01
Gram(125's),0.01,125,bigger,0.01
Jar,0.01,1,reference,0.01
Kg(2's),0.01,2,bigger,0.01
Pc(30's),0.01,30.000003,bigger,0.01
Kg(3.120's),0.01,3.12,bigger,0.01
ML(435's),0.01,435.000014,bigger,0.01
Kg(12's),0.01,12.000005,bigger,0.01
Pc(150's),0.01,149.925037,bigger,0.01
Pc(24's),0.01,24.000004,bigger,0.01
Gram(3000's),0.01,3000.0003,bigger,0.01
Pc(450's),0.01,450.000045,bigger,0.01
Jar,0.01,1,bigger,0.01
Pc(4000's),0.01,100,bigger,0.01
n,0.01,1,reference,0.01
Pack(1's),0.01,1,bigger,0.01
ML(330's),0.01,330,bigger,0.01
Gram(426's),0.01,426,bigger,0.01
ML(170's),0.01,170.000001,bigger,0.01
Gram(650's),0.01,650.000004,bigger,0.01
Pcs,0.01,1,bigger,0.01
Gram(225's),0.01,225.00225,bigger,0.01
Birds,0.01,1,bigger,0.01
Pc(8's),0.01,8,bigger,0.01
PCS,0.01,1,reference,0.01
Pack,0.01,1,reference,0.01
Litter(3.79's),0.01,3.79,bigger,0.01
Gram(390's),0.01,390.625,bigger,0.01
Case14,0.01,0.071429,bigger,0.01
Case9.8,0.01,0.102041,bigger,0.01
order,0.01,1,reference,0.01
Gram(822's),0.01,821.99663,bigger,0.01
n,0.01,1,reference,0.01
gram,0.01,1,reference,0.01
pc,0.01,1,reference,0.01
JJ,0.01,1,reference,0.01
n,0.01,1,reference,0.01
n,0.01,1,reference,0.01
Pack(1's),0.01,1,bigger,0.01
Gallon(1's),0.01,1,bigger,0.01
ML(3780's),0.01,3780.000065,bigger,0.01
Gram(450's),0.01,450,bigger,0.01
Case(2000's),0.01,0.0005,bigger,0.01
Case(1000's),0.01,0.001,bigger,0.01
ML(500's),0.01,500,bigger,0.01
Can(1's),0.01,1,bigger,0.01
Gram(3120's),0.01,3120.000005,bigger,0.01
Litter(1's),0.01,1,bigger,0.01
Gram(2500's),0.01,2500,bigger,0.01
Case10,0.01,0.1,bigger,0.01
Bag(10's),0.01,0.1,bigger,0.01
Bag(40's),0.01,0.025,bigger,0.01
Case8,0.01,0.125,bigger,0.01
ML(350's),0.01,350.000001,bigger,0.01
Gram(20.5g),0.01,20.500003,bigger,0.01
Pc(50's),0.01,50,bigger,0.01
Kg(1's),0.01,1,bigger,0.01
Bag(5Kg),0.01,0.2,bigger,0.01
Gram(40's),0.01,40,bigger,0.01
Pc(40g),0.01,40,bigger,0.01
Gram(250g),0.01,250,bigger,0.01
Pack(12's),0.01,0.083333,bigger,0.01
Case36,0.01,0.027778,bigger,0.01
Jar(1's),0.01,1,bigger,0.01
Gram(37's),0.01,37.000037,bigger,0.01
Pack(36's),0.01,0.027778,bigger,0.01
Pack(8's),0.01,0.125,bigger,0.01
Case48,0.01,0.020833,bigger,0.01
Gram(704's),0.01,704.002253,bigger,0.01
Gram(300's),0.01,300,bigger,0.01
Gram(395's),0.01,395.000002,bigger,0.01
